CoilID,Y
711,1
1542,1
1232,1
600,1
1087,1
1401,1
217,1
877,1
1117,1
555,1
1095,1
732,1
1298,1
940,1
1082,1
735,1
923,1
1209,1
1138,1
654,1
215,1
403,1
1157,1
1556,1
826,1
857,1
239,1
376,1
274,1
1448,1
459,1
2,1
112,1
730,1
1650,1
1334,1
1049,1
240,1
829,1
1183,1
1425,1
1206,1
1562,1
759,1
100,1
282,1
1647,1
419,1
420,1
1040,1
1463,1
1597,1
1583,1
537,1
1513,1
599,1
421,1
1526,1
1161,1
1330,1
994,1
1602,1
1264,1
21,1
822,1
1027,1
1540,1
1145,1
302,1
398,1
1418,1
1417,1
691,1
685,1
1534,1
1025,1
1568,1
694,1
500,1
1477,1
1090,1
170,1
1179,1
539,1
1582,1
1537,1
684,1
140,1
1460,1
96,1
351,1
1132,1
1150,1
1124,1
806,1
1666,1
1598,1
1304,1
491,1
474,1
683,1
954,1
1234,1
1663,1
289,1
670,1
622,1
229,1
1498,1
631,1
1593,1
171,1
1386,1
9,1
883,1
1028,1
1468,1
1266,1
307,1
507,1
1085,1
1337,1
54,1
1344,1
1287,1
1321,1
961,1
411,1
511,1
1024,1
946,1
15,1
862,1
933,1
494,1
1617,1
292,1
602,1
532,1
803,1
919,1
682,1
776,1
838,1
1092,1
1548,1
437,1
1616,1
867,1
1242,1
1251,1
1184,1
538,1
153,1
1651,1
1511,1
1565,1
144,1
121,1
614,1
1560,1
1392,1
748,1
958,1
1491,1
747,1
797,1
246,1
235,1
1676,1
264,1
212,1
1547,1
972,1
1355,1
309,1
1328,1
1371,1
551,1
917,1
941,1
1520,1
1189,1
853,1
425,1
1570,1
197,1
410,1
1137,1
1452,1
156,1
1022,1
996,1
1492,1
216,1
488,1
893,1
1023,1
1227,1
1591,1
404,1
210,1
132,1
835,1
1377,1
1187,1
692,1
457,1
329,1
1043,1
41,1
1347,1
199,1
1630,1
1607,1
1091,1
582,1
625,1
1506,1
836,1
586,1
675,1
481,1
27,1
1097,1
601,1
35,1
1063,1
1170,1
104,1
1133,1
1643,1
802,1
781,1
1118,1
275,1
1444,1
979,1
485,1
859,1
1688,1
1336,1
1202,1
257,1
897,1
131,1
528,1
176,1
1494,1
1589,1
1557,1
196,1
207,1
462,1
1627,1
1426,1
902,1
866,1
161,1
107,1
1481,1
856,1
211,1
1073,1
751,1
1592,1
22,1
1362,1
515,1
496,1
1318,1
265,1
693,1
593,1
65,1
1450,1
1453,1
160,1
1471,1
1274,1
1129,1
666,1
1295,1
962,1
1380,1
331,1
416,1
1346,1
1412,1
162,1
736,1
477,1
648,1
1238,1
1434,1
38,1
1223,1
1111,1
1594,1
297,1
943,1
1260,1
344,1
1088,1
926,1
1611,1
358,1
1567,1
1210,1
422,1
1482,1
639,1
1442,1
406,1
1263,1
1407,1
804,1
1100,1
1561,1
1478,1
1019,1
705,1
1233,1
1216,1
704,1
252,1
361,1
841,1
1215,1
226,1
770,1
1203,1
397,1
1489,1
1429,1
934,1
571,1
1374,1
14,1
